1|Espresso|2.50|3.50|4.50
2|Cappuccino|3.00|4.00|5.00
3|Latte|3.50|4.50|5.50
4|Mocha|4.00|5.00|6.00
5|Americano|2.75|3.75|4.75
6|Macchiato|3.25|4.25|5.25
7|Flat White|3.75|4.75|5.75
8|Hot Chocolate|3.50|4.50|5.50
9|Tea|2.00|3.00|4.00
10|Iced Coffee|3.50|4.50|5.50
11|Smoothie|4.50|5.50|6.50
12|Cold Brew|3.75|4.75|5.75
13|Frappe|4.25|5.25|6.25
14|Chai Latte|3.25|4.25|5.25
15|Hot Tea|2.25|3.25|4.25
16|Matcha Latte|4.00|5.00|6.00
17|Iced Tea|2.50|3.50|4.50
18|Soda|2.50|3.50|4.50
19|Water|1.00|1.50|2.00
